catchment,water_body,description
An Giang,Sông Cái Vùng,"Sông Cái Vùng là một con sông đổ ra Sông Tiền. Sông có chiều dài 21 km và diện tích lưu vực là km². Sông Cái Vùng chảy qua các tỉnh Đồng Tháp, An Giang."
An Giang,Kênh Đờn Dang,"Kênh Đờn Dang là một con kênh đổ ra Kênh Ông Hiển. Kênh có chiều dài 42 km. Kênh Đờn Dang chảy qua các tỉnh Kiên Giang, An Giang, Cần Thơ."
An Giang,Sông Hậu,"Sông Hậu hay Hậu Giang, phía Campuchia gọi là Tonlé Bassac ( tiếng Khmer : ទន្លេបាសាក់ ), là một phân lưu của sông Mê Kông, chảy qua và Việt Nam."
An Giang,Kênh 10,"Kênh 10 là một con sông đổ ra Sông Hậu. Sông có chiều dài 56 km và diện tích lưu vực là km². Kênh 10 chảy qua các tỉnh Kiên Giang, An Giang."
An Giang,Kênh 18,"Kênh 18 (tên khác: Kênh T4) là một con sông đổ ra Kênh Rạch Giá - Hà Tiên. Sông có chiều dài 27 km và diện tích lưu vực là km². Kênh 18 chảy qua các tỉnh Kiên Giang, An Giang."
An Giang,Kênh Ba Thê,"Kênh Ba Thê là một con sông đổ ra Sông Hậu. Sông có chiều dài 57 km và diện tích lưu vực là km². Kênh Ba Thê chảy qua các tỉnh Kiên Giang, An Giang."
An Giang,Kênh Cái Sắn,"Kênh Cái Sắn (tên gọi khác là Kênh Rạch Sỏi – Vàm Cống hay Sông Rạch Sỏi ) là một kênh đào chạy dài từ Sông Hậu đến vùng biển Vịnh Thái Lan. Kênh này dài khoảng 58 km, và chạy qua tỉnh An Giang, thành phố Cần Thơ và tỉnh Kiên Giang. Trước đây, kênh này còn được gọi là kênh Rạch Sỏi. Có hai cách giải thích nguồn gốc của tên Cái Sắn. Cách giải thích thứ nhất dựa theo tiếng Phù Nam cổ. Từ ""Cái"" tạm hiểu là ""sông nhỏ"", bắt nguồn hay chảy ra một con sông lớn hơn ( Hậu Giang ). Khi kênh Cái Sắn được đào, trên Vàm Cái Sắn trước đó có cây sắn thuyền. Theo cách giải thích thứ hai, từ Cái Sắn là cách đọc trại của Cà Xăng, tên một loại cây trong tiếng Khmer."
An Giang,Kênh Ngã Ba,"Kênh Ngã Ba là một con kênh đổ ra Kênh Vĩnh Tế. Sông có chiều dài 31 km. Kênh Ngã Ba chảy qua các tỉnh Kiên Giang, An Giang."
An Giang,Kênh Ninh Phước 2,"Kênh Ninh Phước 2 là một con sông đổ ra Kênh Tri Tôn. Sông có chiều dài 17 km và diện tích lưu vực là km². Kênh Ninh Phước 2 chảy qua các tỉnh An Giang, Kiên Giang."
An Giang,Sông Rạch Giá – Long Xuyên,"Sông Rạch Giá – Long Xuyên (tên khác: Sông Rạch Giá, Sông Thoại Sơn) là một con sông đổ ra Sông Hậu. Sông có chiều dài 68 km và diện tích lưu vực là km². Sông Rạch Giá – Long Xuyên chảy qua các tỉnh Kiên Giang, An Giang."
